window_start,mean_oddball_score,max_oddball_score,active_nodes,attacker_oddball_score,mean_value,mean_delta,mean_change_score,mean_is_changepoint,max_value,max_delta,max_change_score,max_is_changepoint,attacker_value,attacker_delta,attacker_change_score,attacker_is_changepoint,any_changepoint
2017-07-07 03:30:00,0.05157439541618837,0.6217439817093757,717,0.0,0.05157439541618837,0.0,0.0,False,0.6217439817093757,0.0,0.0,False,0.0,0.0,0.0,False,False
2017-07-07 03:40:00,0.08202439551713148,0.60921177953075,438,0.0,0.08202439551713148,0.030450000100943106,2.4236318370568437,False,0.60921177953075,-0.012532202178625718,0.43070267901359216,False,0.0,0.0,0.0,False,False
2017-07-07 03:50:00,0.07493103588039086,0.6329848381737398,451,0.1183562118400891,0.07493103588039086,-0.007093359636740612,0.5645875924567254,False,0.6329848381737398,0.02377305864298984,0.8170248053726963,False,0.1183562118400891,0.1183562118400891,7.687766654871612,True,True
2017-07-07 04:00:00,0.07700433948297546,0.5772286871731527,417,0.0651391168804574,0.07700433948297546,0.002073303602584592,0.16502215443188234,False,0.5772286871731527,-0.05575615100058717,1.9162093992065397,False,0.0651391168804574,-0.0532170949596317,3.456688937058538,True,True
2017-07-07 04:10:00,0.07035441540982522,0.5980200658425274,599,0.1822784921762525,0.07035441540982522,-0.006649924073150237,0.529292861880761,False,0.5980200658425274,0.02079137866937475,0.7145513905416228,False,0.1822784921762525,0.1171393752957951,7.608727665162379,True,True
2017-07-07 04:20:00,0.08618931724085445,0.6058748582957947,545,0.0480998814925274,0.08618931724085445,0.01583490183102923,1.2603603312685538,False,0.6058748582957947,0.007854792453267256,0.26995097146517166,False,0.0480998814925274,-0.1341786106837251,8.715502405611339,True,True
2017-07-07 04:30:00,0.06885526574197902,0.6985487681150602,403,0.0465070691477101,0.06885526574197902,-0.01733405149887543,1.3796833805775983,False,0.6985487681150602,0.09267390981926549,3.184987017038275,True,0.0465070691477101,-0.0015928123448172987,0.10346030378615635,False,True
2017-07-07 04:40:00,0.06938679411482494,0.608607955484629,416,0.0430864989362942,0.06938679411482494,0.0005315283728459241,0.04230637380814007,False,0.608607955484629,-0.08994081263043119,3.0910568151107043,True,0.0430864989362942,-0.0034205702114158965,0.2221813726811356,False,True
2017-07-07 04:50:00,0.07924175425184031,0.5704619895773058,493,0.0545038567741405,0.07924175425184031,0.009854960137015367,0.784393926496465,False,0.5704619895773058,-0.03814596590732322,1.3109882425825126,False,0.0545038567741405,0.011417357837846295,0.741608585708396,False,False
2017-07-07 05:00:00,0.10495701435776039,0.5937951837441079,206,0.0451531099603693,0.10495701435776039,0.025715260105920082,2.0467757925877748,False,0.5937951837441079,0.02333319416680213,0.8019076850456658,False,0.0451531099603693,-0.009350746813771196,0.6073729332447944,False,False
